cause,soln
anxiety,avoiding alcohol
anxiety,stop smoking
anxiety,cut down on caffeine intake
anxiety,medication
anxiety,exercise
anxiety,meditation
depression,keeping a pet
depression,medication
anxiety,proper nutrition
weakened immune system,exercise
weakened immune system,proper nutrition
loneliness,social networks
loneliness,keeping a pet
depression,proper nutrition
depression,exercise
high levels of stress,keeping a pet
poor sleep quality,medication
poor sleep quality,exercise
coronary heart disease,exercise
negative self-esteem,keeping a pet
